,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,itemknn,1,genre,0.0,0.8304486941133256,0.3771523225500644,0.108145106091718,0.34822725116487124,0.24306355522756856,0.11002691790040377,0.006398862424457874,0.006478819991084475,0.017857848199120875,-0.83143491083938,-0.6298583294073343,-0.7369390773596133
1,itemknn,1,genre,0.2,0.7144288785828058,0.37832339139708343,0.10951403148528405,0.12462704750737265,0.2406892841865316,0.11137281292059219,0.007465339495200853,0.006246931762395679,0.01774174890954132,-0.823192119193384,-0.6298583294073343,-0.7352144739852688
2,itemknn,1,genre,0.4,0.7128526931850783,0.37840673065528935,0.10951403148528405,0.12249523345501119,0.24041426651228617,0.11137281292059219,0.007465339495200853,0.006206854231205458,0.017650477657587524,-0.823192119193384,-0.6298583294073343,-0.7352256945667545
3,itemknn,1,genre,0.6,0.7128526931850783,0.37840673065528935,0.10951403148528405,0.12249523345501119,0.24041426651228617,0.11137281292059219,0.007465339495200853,0.006206854231205458,0.017650477657587524,-0.823192119193384,-0.6298583294073343,-0.7352256945667545
4,itemknn,1,genre,0.8,0.7128526931850783,0.37840673065528935,0.10951403148528405,0.12249523345501119,0.24041426651228617,0.11137281292059219,0.007465339495200853,0.006206854231205458,0.017650477657587524,-0.823192119193384,-0.6298583294073343,-0.7352256945667545
5,itemknn,1,genre,1.0,0.7128526931850783,0.37840673065528935,0.10951403148528405,0.12249523345501119,0.24041426651228617,0.11137281292059219,0.007465339495200853,0.006206854231205458,0.017650477657587524,-0.823192119193384,-0.6298583294073343,-0.7352256945667545
6,slopeOne,1,genre,0.0,0.8387409689243349,0.38547427420310476,0.0838466803559206,0.35617194540308716,0.26925350757717664,0.08411843876177658,0.0017774617845716318,0.0011380692815104476,0.0033636348247084117,-0.8512176107897707,-0.7052470617026245,-0.8012397416212946
7,slopeOne,1,genre,0.2,0.717384477808402,0.38097428605284894,0.08624229979466119,0.12003204599271247,0.25481506388638947,0.08647375504710633,0.00035549235691432633,0.0011170218768867895,0.0029203979257303113,-0.8528661691189698,-0.695610907950595,-0.7976586930401487
8,slopeOne,1,genre,0.4,0.7166672296578089,0.38102378836354933,0.08624229979466119,0.11915897369233837,0.2547242199499289,0.08647375504710633,0.00035549235691432633,0.0011221003391284228,0.0029267460035323524,-0.8528661691189698,-0.695610907950595,-0.7976547658366286
9,slopeOne,1,genre,0.6,0.7166672296578089,0.38102378836354933,0.08624229979466119,0.11915897369233837,0.2547242199499289,0.08647375504710633,0.00035549235691432633,0.0011221003391284228,0.0029267460035323524,-0.8528661691189698,-0.695610907950595,-0.7976547658366286
10,slopeOne,1,genre,0.8,0.7166672296578089,0.38102378836354933,0.08624229979466119,0.11915897369233837,0.2547242199499289,0.08647375504710633,0.00035549235691432633,0.0011221003391284228,0.0029267460035323524,-0.8528661691189698,-0.695610907950595,-0.7976547658366286
11,slopeOne,1,genre,1.0,0.7166672296578089,0.38102378836354933,0.08624229979466119,0.11915897369233837,0.2547242199499289,0.08647375504710633,0.00035549235691432633,0.0011221003391284228,0.0029267460035323524,-0.8528661691189698,-0.695610907950595,-0.7976547658366286
